# Kabala (Peru) - 6 numeros de 1 a 40, sorteos martes, jueves y sabado.
# SOLO sorteos verificados via busqueda web (acceso directo bloqueado por la
# politica de red del entorno).
# Validaciones aplicadas: rango 1-40, sin duplicados, 6 numeros, y el dia de
# la semana de la fecha debe ser martes/jueves/sabado.
# NINGUNA fila fue inferida ni completada. Ver DATA_PROVENANCE.md.
fecha,n1,n2,n3,n4,n5,n6,fuentes
2025-08-09,4,15,25,26,27,37,infobae
2025-09-02,12,14,17,19,25,38,infobae
2025-09-09,4,18,27,32,33,34,infobae
2025-11-06,2,4,10,23,26,38,infobae
2025-10-28,17,18,22,24,27,35,infobae
2025-11-08,1,15,18,28,34,37,infobae
2026-05-07,3,8,14,19,22,29,infobae
2026-05-23,5,8,22,24,27,33,infobae
2026-06-20,6,8,10,11,21,26,infobae
2026-06-27,7,15,23,27,33,34,infobae
2026-07-07,12,14,18,25,32,38,infobae
2026-07-11,5,14,20,23,30,39,infobae
2026-07-14,6,7,13,16,18,25,infobae
2026-07-18,5,7,20,28,34,36,infobae
2026-07-21,2,3,21,32,34,35,infobae
2026-07-23,7,11,17,31,37,39,infobae
2026-07-25,4,5,8,10,23,32,infobae
2026-07-28,5,6,19,23,30,37,infobae|lotterytexts
2026-07-30,6,14,16,23,27,38,infobae|lotterytexts
2026-08-01,4,9,30,31,35,39,infobae|expreso|elcomercio
2026-08-04,7,9,10,16,18,40,infobae
2026-08-06,7,12,16,22,26,31,infobae
2026-08-08,6,14,20,21,27,33,infobae
2026-08-11,1,4,14,18,19,31,infobae
