numero,ap_2025,ap_2026,ap_total,pct_2025,pct_2026,ultima_aparicion,sorteos_desde,max_retraso,frec_ult_30,frec_ult_60,frec_ult_100,diferencia_pp
1,0,3,3,,3.16,2026-08-01,7,8,3,3,3,
2,0,1,1,,1.05,2026-06-09,17,17,1,1,1,
3,0,2,2,,2.11,2026-08-05,4,7,2,2,2,
4,0,3,3,,3.16,2026-08-09,2,7,3,3,3,
5,0,5,5,,5.26,2026-08-11,0,8,5,5,5,
6,0,1,1,,1.05,2026-06-10,16,16,1,1,1,
7,0,3,3,,3.16,2026-08-07,3,9,3,3,3,
8,0,1,1,,1.05,2026-07-30,8,10,1,1,1,
9,0,2,2,,2.11,2026-08-01,7,8,2,2,2,
10,0,3,3,,3.16,2026-08-02,6,7,3,3,3,
11,0,2,2,,2.11,2026-08-11,0,16,2,2,2,
12,0,2,2,,2.11,2026-08-10,1,13,2,2,2,
13,0,0,0,,0.0,,,19,0,0,0,
14,0,1,1,,1.05,2026-08-09,2,16,1,1,1,
15,0,0,0,,0.0,,,19,0,0,0,
16,0,6,6,,6.32,2026-08-10,1,5,6,6,6,
17,0,4,4,,4.21,2026-08-09,2,10,4,4,4,
18,0,6,6,,6.32,2026-08-11,0,6,6,6,6,
19,0,2,2,,2.11,2026-07-30,8,8,2,2,2,
20,0,5,5,,5.26,2026-08-11,0,5,5,5,5,
21,0,5,5,,5.26,2026-08-09,2,5,5,5,5,
22,0,1,1,,1.05,2026-08-10,1,17,1,1,1,
23,0,3,3,,3.16,2026-08-01,7,7,3,3,3,
24,0,0,0,,0.0,,,19,0,0,0,
25,0,3,3,,3.16,2026-08-11,0,12,3,3,3,
26,0,3,3,,3.16,2026-07-21,10,10,3,3,3,
27,0,4,4,,4.21,2026-08-07,3,5,4,4,4,
28,0,4,4,,4.21,2026-07-30,8,8,4,4,4,
29,0,2,2,,2.11,2026-07-13,12,12,2,2,2,
30,0,0,0,,0.0,,,19,0,0,0,
31,0,3,3,,3.16,2026-08-02,6,8,3,3,3,
32,0,5,5,,5.26,2026-08-05,4,4,5,5,5,
33,0,4,4,,4.21,2026-08-10,1,10,4,4,4,
34,0,3,3,,3.16,2026-08-07,3,10,3,3,3,
35,0,3,3,,3.16,2026-08-02,6,6,3,3,3,
