numero,ap_2025,ap_2026,ap_total,pct_2025,pct_2026,ultima_aparicion,sorteos_desde,max_retraso,frec_ult_30,frec_ult_60,frec_ult_100,diferencia_pp
1,1,1,2,2.78,0.93,2026-08-11,0,17,2,2,2,-1.85
2,1,1,2,2.78,0.93,2026-07-21,9,9,2,2,2,-1.85
3,0,2,2,0.0,1.85,2026-07-21,9,9,2,2,2,1.85
4,3,3,6,8.33,2.78,2026-08-11,0,11,6,6,6,-5.55
5,0,5,5,0.0,4.63,2026-07-28,6,7,5,5,5,4.63
6,0,5,5,0.0,4.63,2026-08-08,1,8,5,5,5,4.63
7,0,6,6,0.0,5.56,2026-08-06,2,9,6,6,6,5.56
8,0,4,4,0.0,3.7,2026-07-25,7,7,4,4,4,3.7
9,0,2,2,0.0,1.85,2026-08-04,3,19,2,2,2,1.85
10,1,3,4,2.78,2.78,2026-08-04,3,7,4,4,4,0.0
11,0,2,2,0.0,1.85,2026-07-23,8,8,2,2,2,1.85
12,1,2,3,2.78,1.85,2026-08-06,2,10,3,3,3,-0.93
13,0,1,1,0.0,0.93,2026-07-14,11,12,1,1,1,0.93
14,1,6,7,2.78,5.56,2026-08-11,0,6,7,7,7,2.78
15,2,1,3,5.56,0.93,2026-06-27,14,14,3,3,3,-4.63
16,0,4,4,0.0,3.7,2026-08-06,2,12,4,4,4,3.7
17,2,1,3,5.56,0.93,2026-07-23,8,11,3,3,3,-4.63
18,3,4,7,8.33,3.7,2026-08-11,0,7,7,7,7,-4.63
19,1,3,4,2.78,2.78,2026-08-11,0,10,4,4,4,0.0
20,0,3,3,0.0,2.78,2026-08-08,1,11,3,3,3,2.78
21,0,3,3,0.0,2.78,2026-08-08,1,8,3,3,3,2.78
22,1,3,4,2.78,2.78,2026-08-06,2,13,4,4,4,0.0
23,1,5,6,2.78,4.63,2026-07-30,5,5,6,6,6,1.85
24,1,1,2,2.78,0.93,2026-05-23,16,16,2,2,2,-1.85
25,2,2,4,5.56,1.85,2026-07-14,11,11,4,4,4,-3.71
26,2,2,4,5.56,1.85,2026-08-06,2,12,4,4,4,-3.71
27,3,4,7,8.33,3.7,2026-08-08,1,8,7,7,7,-4.63
28,1,1,2,2.78,0.93,2026-07-18,10,10,2,2,2,-1.85
29,0,1,1,0.0,0.93,2026-05-07,17,17,1,1,1,0.93
30,0,3,3,0.0,2.78,2026-08-01,4,11,3,3,3,2.78
31,0,4,4,0.0,3.7,2026-08-11,0,15,4,4,4,3.7
32,1,3,4,2.78,2.78,2026-07-25,7,7,4,4,4,0.0
33,1,3,4,2.78,2.78,2026-08-08,1,12,4,4,4,0.0
34,2,3,5,5.56,2.78,2026-07-21,9,9,5,5,5,-2.78
35,1,2,3,2.78,1.85,2026-08-01,4,10,3,3,3,-0.93
36,0,1,1,0.0,0.93,2026-07-18,10,13,1,1,1,0.93
37,2,2,4,5.56,1.85,2026-07-28,6,9,4,4,4,-3.71
38,2,2,4,5.56,1.85,2026-07-30,5,7,4,4,4,-3.71
39,0,3,3,0.0,2.78,2026-08-01,4,11,3,3,3,2.78
40,0,1,1,0.0,0.93,2026-08-04,3,20,1,1,1,0.93
